X,Y,XMin,YMin,XMax,YMax,Scale,MaxAllowableOffset,Service,Token
1830727.2885499,5527348.3806500435,1829504.29854329,5526431.138145085,1831950.27855651,5528265.623155002,9028,2.3886523566604163,services.arcgis.com/XTtANUDT8Va4DLwI/arcgis/rest/services/NZ_Base_Data_Fire_Station_Locations_2008/FeatureServer/0,
1793653.8921999931,5665430.941949844,1480568.4505160626,5430616.860686896,2106739.333883924,5900245.023212792,2311162,611.495003288927,services.arcgis.com/XTtANUDT8Va4DLwI/arcgis/rest/services/New_Zealand_Schools/FeatureServer/0,
1235726.2450499535,5096758.755400181,1235649.8081745657,5096701.42774364,1235802.6819253413,5096816.083056722,564,0.14929077224166667,services.arcgis.com/XTtANUDT8Va4DLwI/arcgis/rest/services/New_Zealand_Schools/FeatureServer/0,
1784686.8453998566,5565309.269050121,1784381.0978981701,5565079.958423857,1784992.592901543,5565538.579676386,2257,0.5971630892312499,services.arcgis.com/XTtANUDT8Va4DLwI/arcgis/rest/services/NZ_Base_Data_Fire_Station_Locations_2008/FeatureServer/0,
1843359.777249813,5829797.2260499,1833575.857197203,5822459.286010442,1853143.6973024232,5837135.166089358,72224,19.109218852754164,services.arcgis.com/XTtANUDT8Va4DLwI/arcgis/rest/services/NZ_Base_Data_Fire_Station_Locations_2008/FeatureServer/0,
1798488.9878001213,5902332.9617500305,546147.2210646698,4963076.636698442,3050830.7545355726,6841589.286801619,9244649,2445.9800131551788,services.arcgis.com/XTtANUDT8Va4DLwI/arcgis/rest/services/New_Zealand_Schools/FeatureServer/0,
1396986.3681502342,5032729.931900024,1396948.1497125404,5032701.268071754,1397024.586587928,5032758.595728295,282,0.07464538612083334,services.arcgis.com/XTtANUDT8Va4DLwI/arcgis/rest/services/NZ_Base_Data_Fire_Station_Locations_2008/FeatureServer/0,
1991621.851799965,5771484.486149788,1991583.6333622711,5771455.822321517,1991660.0702376587,5771513.149978058,282,0.07464538612083334,services.arcgis.com/XTtANUDT8Va4DLwI/arcgis/rest/services/New_Zealand_Schools/FeatureServer/0,
1326866.1423501968,5139649.264349937,1326254.6473469594,5139190.64309751,1327477.6373534342,5140107.885602365,4514,1.1943261781979164,services.arcgis.com/XTtANUDT8Va4DLwI/arcgis/rest/services/New_Zealand_Schools/FeatureServer/0,
1814586.7243499756,6002853.594049931,1188415.84098225,5533225.431524136,2440757.6077177012,6472481.756575725,4622324,1222.9900065775894,services.arcgis.com/XTtANUDT8Va4DLwI/arcgis/rest/services/NZ_Base_Data_Fire_Station_Locations_2008/FeatureServer/0,
1324147.1925501823,4882021.569149971,1324108.9741124886,4881992.9053217005,1324185.4109878761,4882050.2329782415,282,0.07464538612083334,services.arcgis.com/XTtANUDT8Va4DLwI/arcgis/rest/services/NZ_Base_Data_Fire_Station_Locations_2008/FeatureServer/0,
1697066.871650219,5671715.774799824,1697028.6532125252,5671687.110971553,1697105.0900879127,5671744.438628094,282,0.07464538612083334,services.arcgis.com/XTtANUDT8Va4DLwI/arcgis/rest/services/New_Zealand_Schools/FeatureServer/0,
1741335.1871500015,5991003.966800213,1428249.745466071,5756189.885537265,2054420.628833932,6225818.048063161,2311162,611.495003288927,services.arcgis.com/XTtANUDT8Va4DLwI/arcgis/rest/services/NZ_Base_Data_Fire_Station_Locations_2008/FeatureServer/0,
