X,Y,XMin,YMin,XMax,YMax,Scale,MaxAllowableOffset
1899280.387,5806578.617,1898974.64,5806349.307,1899586.135,5806807.928,2257,0.597163089
1535778.211,5439692.616,1535739.993,5439663.953,1535816.429,5439721.28,282,0.074645386
1879594.941,5513075.831,1878371.951,5512158.589,1880817.931,5513993.074,9028,2.388652357
1786066.14,5894961.367,533724.3734,4955705.042,3038407.907,6834217.692,9244649,2445.980013
1564931.487,5493523.741,1545363.647,5478847.861,1584499.327,5508199.621,144448,38.21843771
1520068.963,5299489.866,1206983.521,5064675.785,1833154.405,5534303.947,2311162,611.4950033
1591924.545,5300109.051,1582140.625,5292771.111,1601708.465,5307446.991,72224,19.10921885
1827875.772,5903873.696,1514790.33,5669059.615,2140961.213,6138687.777,2311162,611.4950033
1832921.134,5604151.81,1813353.294,5589475.93,1852488.974,5618827.69,144448,38.21843771
1509071.027,5262717.489,1504179.067,5259048.519,1513962.987,5266386.459,36112,9.554609426
1392322.544,5172844.496,1392169.67,5172729.84,1392475.418,5172959.151,1128,0.298581544
1788155.102,5579760.722,1787543.607,5579302.101,1788766.597,5580219.343,4514,1.194326178
1406289.372,5090563.799,1093203.931,4855749.717,1719374.814,5325377.88,2311162,611.4950033
1330573.135,4839269.085,1325681.175,4835600.115,1335465.095,4842938.055,36112,9.554609426
1969862.551,5675667.093,1968639.561,5674749.85,1971085.542,5676584.335,9028,2.388652357
1819073.731,5628410.003,1809289.811,5621072.063,1828857.651,5635747.943,72224,19.10921885
1819074.209,5623302.484,1818768.461,5623073.173,1819379.956,5623531.795,2257,0.597163089
1761248.298,5667187.921,1448162.856,5432373.839,2074333.739,5902002.002,2311162,611.4950033
1692202.791,5392760.878,1691897.043,5392531.567,1692508.538,5392990.188,2257,0.597163089
1221373.607,5095402.748,1220762.112,5094944.127,1221985.102,5095861.37,4514,1.194326178
1684443.479,5376421.054,1684367.042,5376363.726,1684519.916,5376478.382,564,0.149290772
1810478.445,5550820.855,1810325.571,5550706.2,1810631.319,5550935.51,1128,0.298581544
1309432.697,5095641.731,1309394.478,5095613.067,1309470.915,5095670.394,282,0.074645386
1191113.024,5060806.828,1191036.587,5060749.5,1191189.461,5060864.156,564,0.149290772
1245225.269,5098734.764,932139.8274,4863920.683,1558310.711,5333548.845,2311162,611.4950033
1936641.844,5661337.594,1934195.864,5659503.109,1939087.824,5663172.079,18056,4.777304713
1574573.921,5173341.982,1261488.479,4938527.901,1887659.363,5408156.063,2311162,611.4950033
1342466.454,5117069.822,1340020.474,5115235.337,1344912.434,5118904.307,18056,4.777304713
1383519.177,4925116.624,1363951.337,4910440.744,1403087.017,4939792.504,144448,38.21843771
1391891.546,4948444.176,1391280.051,4947985.555,1392503.041,4948902.798,4514,1.194326178
1742213.172,5987358.535,1703077.492,5958006.775,1781348.852,6016710.295,288895,76.43687541
1416377.958,5177673.66,1406594.038,5170335.72,1426161.878,5185011.6,72224,19.10921885
1781517.776,5880157.263,1776625.816,5876488.293,1786409.736,5883826.233,36112,9.554609426
1566649.123,5230705.112,1410106.402,5113298.071,1723191.844,5348112.153,1155581,305.7475016
1677058.241,5642087.406,1667274.321,5634749.466,1686842.161,5649425.346,72224,19.10921885
1759275.064,5585215.767,1758969.316,5584986.456,1759580.811,5585445.077,2257,0.597163089
1421851.915,5171337.379,169510.1483,4232081.053,2674193.682,6110593.704,9244649,2445.980013
2016426.489,5721201.22,2016388.271,5721172.557,2016464.708,5721229.884,282,0.074645386
1247684.51,4981240.925,1242792.55,4977571.955,1252576.47,4984909.895,36112,9.554609426
1928988.922,5641667.908,1927765.932,5640750.666,1930211.912,5642585.151,9028,2.388652357
1312062.4,4911594.182,1233791.04,4852890.662,1390333.761,4970297.703,577791,152.8737508
1922951.507,5795463.025,1922645.76,5795233.714,1923257.255,5795692.335,2257,0.597163089
1922998.387,5709831.152,1918106.427,5706162.182,1927890.347,5713500.122,36112,9.554609426
1845152.76,5890713.701,1843929.77,5889796.458,1846375.75,5891630.943,9028,2.388652357
1901684.128,5731287.497,1899238.148,5729453.012,1904130.108,5733121.982,18056,4.777304713
1578819.079,5365994.889,1578742.643,5365937.561,1578895.516,5366052.217,564,0.149290772
1400575.024,4977990.219,1322303.664,4919286.698,1478846.385,5036693.739,577791,152.8737508
1815052.277,5799108.133,562710.5104,4859851.808,3067394.044,6738364.458,9244649,2445.980013
1573266.664,6189038.923,1494995.304,6130335.403,1651538.024,6247742.443,577791,152.8737508
1436531.834,5120694.725,1358260.474,5061991.205,1514803.195,5179398.245,577791,152.8737508
1488353.852,5197018.723,1485907.871,5195184.238,1490799.832,5198853.208,18056,4.777304713
1999996.955,5757022.38,1998773.965,5756105.138,2001219.945,5757939.623,9028,2.388652357
1459830.54,5279677.623,1458607.55,5278760.381,1461053.53,5280594.866,9028,2.388652357
1200988.772,4877906.318,1196096.812,4874237.348,1205880.732,4881575.288,36112,9.554609426
1648131.761,6088436.172,1021960.877,5618808.01,2274302.644,6558064.335,4622324,1222.990007
1784716.624,5431890.809,1782270.644,5430056.324,1787162.604,5433725.294,18056,4.777304713
1518264.213,5246112.119,1513372.253,5242443.149,1523156.173,5249781.089,36112,9.554609426
1509143.269,5172883.074,1430871.909,5114179.554,1587414.63,5231586.594,577791,152.8737508
1193186.885,5033362,1036644.165,4915954.959,1349729.606,5150769.04,1155581,305.7475016
1837222.275,5856255.481,1680679.554,5738848.44,1993764.996,5973662.521,1155581,305.7475016
1607705.964,5367415.816,355364.1971,4428159.49,2860047.731,6306672.141,9244649,2445.980013
1431384.017,5118856.973,1430772.522,5118398.352,1431995.512,5119315.594,4514,1.194326178
1126787.966,4890141.344,1107220.126,4875465.464,1146355.806,4904817.224,144448,38.21843771
1217299.601,4982171.2,1216688.106,4981712.579,1217911.096,4982629.822,4514,1.194326178
1569948.256,5358683.497,1565056.296,5355014.527,1574840.216,5362352.467,36112,9.554609426
1767155.308,5439929.755,1140984.424,4970301.592,2393326.191,5909557.917,4622324,1222.990007
1651269.334,6133811.814,1651231.116,6133783.151,1651307.552,6133840.478,282,0.074645386
1881468.755,5701434.522,1881392.319,5701377.194,1881545.192,5701491.849,564,0.149290772
1666008.701,5332638.549,1646440.861,5317962.669,1685576.541,5347314.429,144448,38.21843771
1298357.341,5137927.629,1298051.593,5137698.318,1298663.088,5138156.94,2257,0.597163089
1230568.131,5047024.685,1230262.383,5046795.374,1230873.878,5047253.996,2257,0.597163089
