X,Y,XMin,YMin,XMax,YMax,Scale,MaxAllowableOffset
1299648.0391001701,5078724.87405014,1221376.6786791536,5020021.353734378,1377919.3995211867,5137428.394365903,577791,152.8737508222979
1857293.8595499992,5604684.408199787,1779022.4991289827,5545980.8878840245,1935565.2199710158,5663387.92851555,577791,152.8737508222979
1148490.3010997772,4977422.440100193,1070218.9406787606,4918718.91978443,1226761.6615207938,5036125.960415956,577791,152.8737508222979
1248194.7156000137,4973119.466800213,1169923.3551789972,4914415.94648445,1326466.0760210303,5031822.9871159755,577791,152.8737508222979
2024235.9565501213,5745465.229899883,1945964.5961291047,5686761.709584121,2102507.3169711377,5804168.750215646,577791,152.8737508222979
1421007.6184501648,5004379.6332502365,1342736.2580291482,4945676.112934474,1499278.9788711814,5063083.153565999,577791,152.8737508222979
1476456.388850212,5237158.724999905,1398185.0284291955,5178455.204684142,1554727.7492712287,5295862.245315667,577791,152.8737508222979
1887635.3661499023,5738799.864649773,1809364.0057288858,5680096.34433401,1965906.726570919,5797503.384965535,577791,152.8737508222979
1596955.336400032,5340837.494299889,1518683.9759790155,5282133.973984126,1675226.6968210486,5399541.014615651,577791,152.8737508222979
1978076.310450077,5704542.411049843,1899804.9500290605,5645838.89073408,2056347.6708710936,5763245.931365605,577791,152.8737508222979
1918810.9201498032,5548008.127049923,1840539.5597287866,5489304.60673416,1997082.2805708197,5606711.647365686,577791,152.8737508222979
1924768.0695500374,5575855.029500008,1846496.7091290208,5517151.509184245,2003039.429971054,5634558.54981577,577791,152.8737508222979
1311564.694200039,4869969.560649872,1233293.3337790223,4811266.040334109,1389836.0546210555,4928673.080965634,577791,152.8737508222979
1813668.321899891,5829783.117800236,1735396.9614788743,5771079.597484473,1891939.6823209075,5888486.638115998,577791,152.8737508222979
1810298.0069499016,5413114.846000195,1732026.646528885,5354411.325684432,1888569.3673709182,5471818.366315957,577791,152.8737508222979
1314735.5782999992,4946293.268750191,1236464.2178789827,4887589.748434428,1393006.9387210158,5004996.789065953,577791,152.8737508222979
1720169.8548002243,5953385.357200146,1641898.4943792077,5894681.836884383,1798441.215221241,6012088.877515908,577791,152.8737508222979
1795779.0260500908,5500376.864999771,1717507.6656290742,5441673.3446840085,1874050.3864711074,5559080.385315534,577791,152.8737508222979
1849580.4745497704,5571111.859300137,1771309.1141287538,5512408.338984374,1927851.834970787,5629815.379615899,577791,152.8737508222979
1345993.545199871,5055789.196650028,1267722.1847788545,4997085.676334266,1424264.9056208876,5114492.716965791,577791,152.8737508222979
1966317.8924498558,5683507.467899799,1888046.5320288392,5624803.947584037,2044589.2528708724,5742210.988215562,577791,152.8737508222979
1881873.3199000359,5580780.395549774,1803601.9594790193,5522076.875234012,1960144.6803210524,5639483.915865537,577791,152.8737508222979
1799706.3389000893,5462633.281000137,1721434.9784790727,5403929.760684375,1877977.6993211058,5521336.8013159,577791,152.8737508222979
1147092.0359501839,4907493.818449974,1068820.6755291673,4848790.298134211,1225363.3963712004,4966197.338765737,577791,152.8737508222979
1118508.0127501488,4878797.094799995,1040236.6523291322,4820093.574484233,1196779.3731711654,4937500.615115758,577791,152.8737508222979
1537102.2737002373,5452175.354899883,1458830.9132792207,5393471.834584121,1615373.6341212539,5510878.875215646,577791,152.8737508222979
1410063.033249855,4950728.875800133,1331791.6728288385,4892025.35548437,1488334.3936708716,5009432.396115895,577791,152.8737508222979
1695639.4826498032,5387357.728849888,1617368.1222287866,5328654.208534125,1773910.8430708197,5446061.24916565,577791,152.8737508222979
1790669.7989001274,5434559.97755003,1712398.4384791108,5375856.457234267,1868941.159321144,5493263.497865792,577791,152.8737508222979
1192183.4267001152,4857355.705649853,1113912.0662790986,4798652.18533409,1270454.7871211318,4916059.225965615,577791,152.8737508222979
1397341.9320001602,5097689.2250499725,1319070.5715791436,5038985.70473421,1475613.2924211768,5156392.745365735,577791,152.8737508222979
1390161.5374498367,4970437.753149986,1311890.1770288202,4911734.232834224,1468432.8978708533,5029141.273465749,577791,152.8737508222979
1405463.8220000267,5211009.790200233,1327192.4615790101,5152306.269884471,1483735.1824210433,5269713.310515996,577791,152.8737508222979
1222172.3509001732,4885614.318399906,1143900.9904791566,4826910.798084144,1300443.7113211898,4944317.838715669,577791,152.8737508222979
1853569.2660999298,5863779.5568499565,1775297.9056789132,5805076.036534194,1931840.6265209464,5922483.077165719,577791,152.8737508222979
1514412.990049839,5287322.472700119,1436141.6296288224,5228618.952384356,1592684.3504708556,5346025.993015882,577791,152.8737508222979
1386356.478099823,4956686.271699905,1308085.1176788064,4897982.751384143,1464627.8385208396,5015389.792015668,577791,152.8737508222979
2053192.3527498245,5828911.577750206,1974920.992328808,5770208.057434443,2131463.713170841,5887615.098065969,577791,152.8737508222979
1854366.557849884,5488124.560550213,1776095.1974288675,5429421.04023445,1932637.9182709006,5546828.0808659755,577791,152.8737508222979
1805153.589000225,5693743.732749939,1726882.2285792085,5635040.212434176,1883424.9494212416,5752447.253065702,577791,152.8737508222979
1859656.1817998886,5581210.73570013,1781384.821378872,5522507.215384368,1937927.5422209052,5639914.256015893,577791,152.8737508222979
1253834.538599968,4880224.390100002,1175563.1781789514,4821520.86978424,1332105.8990209845,4938927.910415765,577791,152.8737508222979
1466169.2997498512,5163047.723149776,1387897.9393288346,5104344.202834014,1544440.6601708678,5221751.243465539,577791,152.8737508222979
1320417.0103502274,4973458.565649986,1242145.6499292108,4914755.045334224,1398688.370771244,5032162.085965749,577791,152.8737508222979
1343111.9449000359,5019724.968699932,1264840.5844790193,4961021.4483841695,1421383.3053210524,5078428.489015695,577791,152.8737508222979
1509538.5560498238,5265431.434899807,1431267.1956288072,5206727.914584044,1587809.9164708403,5324134.95521557,577791,152.8737508222979
1615233.0369000435,5327891.42840004,1536961.676479027,5269187.908084277,1693504.39732106,5386594.948715802,577791,152.8737508222979
1490066.2950000763,5289176.710949898,1411794.9345790597,5230473.190634135,1568337.6554210929,5347880.23126566,577791,152.8737508222979
1847076.1020498276,5545083.329500198,1768804.741628811,5486379.809184436,1925347.4624708442,5603786.849815961,577791,152.8737508222979
1750628.7827000618,5951890.419549942,1672357.4222790452,5893186.899234179,1828900.1431210784,6010593.939865705,577791,152.8737508222979
1388104.5855498314,4994747.538300037,1309833.2251288148,4936044.017984275,1466375.945970848,5053451.0586158,577791,152.8737508222979
1289170.0510001183,5128770.7689499855,1210898.6905791017,5070067.248634223,1367441.4114211348,5187474.289265748,577791,152.8737508222979
1902213.7547001839,5766234.08739996,1823942.3942791673,5707530.567084197,1980485.1151212004,5824937.607715722,577791,152.8737508222979
1409572.567850113,4913432.761000156,1331301.2074290963,4854729.240684394,1487843.9282711295,4972136.281315919,577791,152.8737508222979
1794202.2849497795,5678154.502399921,1715930.924528763,5619450.982084159,1872473.645370796,5736858.022715684,577791,152.8737508222979
1855206.1656999588,5521828.559949875,1776934.8052789422,5463125.039634112,1933477.5261209754,5580532.0802656375,577791,152.8737508222979
1978876.6248497963,5775017.8187999725,1900605.2644287797,5716314.29848421,2057147.9852708129,5833721.339115735,577791,152.8737508222979
1404948.8572998047,5107883.772349834,1326677.496878788,5049180.252034072,1483220.2177208213,5166587.292665597,577791,152.8737508222979
1321685.0626001358,4916398.047949791,1243413.7021791192,4857694.527634028,1399956.4230211524,4975101.568265554,577791,152.8737508222979
1827053.9550499916,5454145.795450211,1748782.594628975,5395442.275134448,1905325.3154710082,5512849.315765973,577791,152.8737508222979
1227165.527850151,4949848.846449852,1148894.1674291345,4891145.326134089,1305436.8882711676,5008552.366765615,577791,152.8737508222979
1812504.7525000572,5549472.620649815,1734233.3920790406,5490769.100334052,1890776.1129210738,5608176.140965577,577791,152.8737508222979
1857891.936200142,5854540.294099808,1779620.5757791253,5795836.773784045,1936163.2966211585,5913243.81441557,577791,152.8737508222979
2041539.6995501518,5822509.424699783,1963268.3391291352,5763805.904384021,2119811.059971168,5881212.945015546,577791,152.8737508222979
